,Blockchain News,Cryptocurrency,Market,Day,Date,Open,High,Low,Close,Volume,daily_variance,daily difference,Trading_Volume,price_1month,price_2weeks_ago,price_1week_ago,price_2days_ago,price_1day_ago,price_1hour_ago,price_1hour_ahead,price_1day_ahead,price_2days_ahead,price_1week_ahead,price_2weeks_ahead,price_1month_ahead
44,3832,1814,9577,2019-01-25,2019-01-25 23:00:00,3563.96,3565.79,3559.17,3561.0,95.68979847530001,6.619999999999891,2.9600000000000364,340751.3723705433,-6.960123560797527,-2.1420949171581074,-1.3198539736029204,0.2240943555181134,-0.2597584948048301,-0.08312271833754666,0.005335864592608271,0.07897273613831597,0.8887617115674982,3.461199871000361,-1.7001647992182427,-4.594264403292182
45,3819,1623,8965,2019-01-24,2019-01-24 23:00:00,3566.69,3575.25,3559.02,3570.25,33.7103882543,16.230000000000018,-3.5599999999999454,120354.51366491457,-5.818079966388902,-1.5828023247671792,-1.9928576430222,-0.19578460892093777,0.4825992577550597,0.09971290525873386,-0.016242722280252135,0.2597584948048301,0.33893636933384513,4.634975528267052,6.257756719514053,-13.153522630801822
46,4664,1731,10405,2019-01-23,2019-01-23 23:00:00,3554.86,3556.36,3547.46,3553.02,88.08649662399999,8.900000000000091,1.8400000000001455,312973.08423500444,-13.531587213131372,-12.599141012434496,-1.5234926907250763,0.5845731237088443,-0.6816736184991866,-0.05178693055485602,-0.13828226445640096,-0.4825992577550597,-0.2240943555181134,3.4023939862227883,5.530127746277658,-9.971722208708343
47,4843,2043,11472,2019-01-22,2019-01-22 23:00:00,3580.22,3585.13,3572.01,3577.24,39.9435902504,13.11999999999989,2.980000000000018,142887.80878734088,-10.380628641075248,-11.601122653218683,-0.1355793852243731,1.223009918261006,1.2576735136585688,-0.08330444700383588,-0.13316545738287822,0.6816736184991866,0.19578460892093777,5.352688419049975,4.293319494574305,-8.31327740741596
48,4832,1940,12229,2019-01-21,2019-01-21 23:00:00,3530.89,3538.77,3530.45,3532.25,60.8448458345,8.320000000000164,-1.3600000000001273,214919.20669891263,-12.65765446953075,-13.45374761129591,-3.6984924623115543,-4.38106023073112,-0.03510510297968099,0.03850237100998308,-0.25189414797934223,-1.2576735136585688,-0.5845731237088443,2.9900574394261943,3.540409266386637,-10.375371717971356
49,4899,2065,11532,2019-01-20,2019-01-20 23:00:00,3543.84,3550.37,3528.6,3533.49,61.6457083134,21.769999999999982,10.350000000000364,217824.49386831577,-8.64782410591229,-14.363136728843168,0.5493152662098904,-2.108680086826345,-4.344430011122155,-0.2929115407147145,-0.026029804125726017,0.03510510297968099,-1.223009918261006,0.10935990457922425,3.4397056197471305,-9.212159207405914
50,4332,1927,10626,2019-01-19,2019-01-19 23:00:00,3701.3,3701.3,3686.55,3687.0,16.3612930867,14.75,14.300000000000182,60324.08761066291,-10.585570924871169,-2.994575535665849,1.849199891510709,1.2367778681855144,2.142663411988066,-0.3878491998915156,0.004068513771921585,4.344430011122155,4.38106023073112,3.6200989829098487,6.282393501409605,-4.654524578548168
51,4314,1864,9546,2019-01-18,2019-01-18 23:00:00,3611.91,3614.91,3605.07,3608.0,25.5094035552,9.83999999999969,3.9099999999998545,92037.9280271616,-2.1055986696230544,-5.916574279379152,-0.8115299334811585,0.023558758314853354,-0.9257206208425746,-0.10837028824833299,-0.19115275345720514,-2.142663411988066,2.108680086826345,1.3198539736029204,4.826736628635018,-0.5156202608431858
52,3813,1878,8690,2019-01-17,2019-01-17 23:00:00,3630.73,3651.33,3630.73,3641.4,118.87232827540001,20.59999999999991,-10.670000000000073,432861.6961820416,-0.7255451200087898,-3.9959905530839723,0.4020431702092567,1.6287691547207102,0.9405723073543143,0.2930191684516964,0.2712340460684806,0.9257206208425746,-1.2367778681855144,1.9928576430222,6.72020163535653,1.6497780755380596
53,292,202,1088,2019-01-16,2019-01-16 23:00:00,3595.0,3615.9,3595.0,3607.15,249.73182794,20.90000000000009,-12.150000000000091,900820.163153771,2.89175664998683,-7.853845833968638,-10.909443743675755,-1.545264266803426,0.6947312975617854,0.3368310161762081,0.14937100370096115,-0.9405723073543143,-0.023558758314853354,1.5234926907250763,4.977721900637638,1.1221938146179606
